CODIGO|DESCRICAO
1401|Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)
1402|Assistência técnica
1403|Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)
1404|Recauchutagem ou regeneração de pneus
1405|Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação e congêneres, de objetos quaisquer
1406|Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido
1407|Colocação de molduras e congêneres
1408|Encadernação, gravação e douração de livros, revistas e congêneres
1409|Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento
1410|Tinturaria e lavanderia
1411|Tapeçaria e reforma de estofamentos em geral
1412|Funilaria e lanternagem
1413|Carpintaria e serralheria
1501|Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres
1502|Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas
1503|Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral
1504|Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres
1505|Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos CCF ou em quaisquer outros bancos cadastrais
1506|Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia
1507|Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo
1508|Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins
1509|Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing)
1510|Serviços relacionados a cobranças, recebimentos ou pagamentos em geral; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral
1511|Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados
1512|Custódia em geral, inclusive de títulos e valores mobiliários
1513|Serviços relacionados a operações de câmbio em geral
1514|Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres
1515|Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento
1516|Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral
1517|Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão
1518|Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário
1601|Serviços de transporte de natureza municipal
1701|Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares
1702|Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres
1703|Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa
1704|Recrutamento, agenciamento, seleção e colocação de mão-de-obra
1705|Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço
1706|Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários
1708|Franquia (franchising)
1709|Perícias, laudos, exames técnicos e análises técnicas
1710|Planejamento, organização e administração de feiras, exposições, congressos e congêneres
1711|Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS)
1712|Administração em geral, inclusive de bens e negócios de terceiros
1713|Leilão e congêneres
1714|Advocacia
1715|Arbitragem de qualquer espécie, inclusive jurídica
1716|Auditoria
1717|Análise de Organização e Métodos
1718|Atuária e cálculos técnicos de qualquer natureza
1719|Contabilidade, inclusive serviços técnicos e auxiliares
1720|Consultoria e assessoria econômica ou financeira
1721|Estatística
1722|Cobrança em geral
1723|Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring)
1724|Apresentação de palestras, conferências, seminários e congêneres
1801|Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres
1901|Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres
2001|Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, praticagem, capatazia, armazenagem, serviços acessórios, movimentação de mercadorias, apoio marítimo, movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres
2002|Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres
2003|Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive     suas operações, logística e congêneres
2101|Serviços de registros públicos, cartorários e notariais
2201|Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços, atos de concessão ou de permissão ou em normas oficiais
2301|Serviços de programação e comunicação visual, desenho industrial e congêneres
2401|Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres
2501|Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres
2502|Cremação de corpos e partes de corpos cadavéricos
2503|Planos ou convênio funerários
2504|Manutenção e conservação de jazigos e cemitérios
2601|Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres
2701|Serviços de assistência social
2801|Serviços de avaliação de bens e serviços de qualquer natureza
2901|Serviços de biblioteconomia
3001|Serviços de biologia, biotecnologia e química
3101|Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres
3201|Serviços de desenhos técnicos
3301|Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres
3401|Serviços de investigações particulares, detetives e congêneres
3501|Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas
3601|Serviços de meteorologia
3701|Serviços de artistas, atletas, modelos e manequins
3801|Serviços de museologia
3901|Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço)
4001|Obras de arte sob encomenda
